PlzValue;FirstCityName
01067;Dresden
01069;Dresden
01097;Dresden
01099;Dresden
01108;Dresden
01109;Dresden
01127;Dresden
01129;Dresden
01139;Dresden
01156;Dresden
01157;Dresden
01159;Dresden
01169;Dresden
01187;Dresden
01189;Dresden
01217;Dresden
01219;Dresden
01237;Dresden
01239;Dresden
01257;Dresden
01259;Dresden
01277;Dresden
01279;Dresden
01307;Dresden
01309;Dresden
01324;Dresden
01326;Dresden
01328;Dresden
01445;Radebeul
01454;Radeberg
01458;Ottendorf-Okrilla
01465;Langebr??ck
01468;Moritzburg
01471;Radeburg
01477;Arnsdorf
01558;Gro??enhain
01561;Ebersbach
01587;Riesa
01589;Riesa
01591;Riesa
01594;Dobernitz
01609;Gr??ditz
01612;Diesbar-Seu??litz
01616;Strehla
01619;Zeithain
01623;Lommatzsch
01640;Coswig
01662;Mei??en
01665;Diera-Zehren
01683;Nossen
01689;Niederau
01705;Freital
01723;Grumbach
01728;Bannewitz
01731;Kreischa
01734;Rabenau
01737;Kleinopitz
01738;Dorfhain
01744;Dippoldiswalde
01762;Hartmannsdorf-Reichenau
01768;Glash??tte
01773;Altenberg
01774;Klingenberg
01776;Hermsdorf
01778;F??rstenau
01796;Dohma
01809;Dohna
01814;Kleingie??h??bel
01816;Bad Gottleuba-Berggie??h??bel
01819;Bahretal
01824;Gohrisch
01825;Liebstadt
01829;Stadt Wehlen
01833;D??rrr??hrsdorf-Dittersbach
01844;Neustadt
01847;Lohmen
01848;Hohnstein
01855;Hinterhermsdorf
01877;Naundorf
01896;Lichtenberg
01900;Gro??r??hrsdorf
01904;Neukirch
01906;Burkau
01909;Frankenthal
01917;Kamenz
01920;Elstra
01936;Gro??naundorf
01945;Frauendorf
01968;Gro??koschen
01979;Lauchhammer
01983;Gro??r??schen
01987;Schwarzheide
01990;Frauwalde
01993;Schipkau
01994;Drochow
01996;Hosena
01998;Klettwitz
02625;Bautzen
02627;Hochkirch
02633;Gau??ig
02681;Wilthen
02689;Sohland
02692;Doberschau
02694;Gro??dubrau
02699;K??nigswartha
02708;D??rrhennersdorf
02727;Ebersbach-Neugersdorf
02730;Ebersbach-Neugersdorf
02733;Cunewalde
02736;Oppach
02739;Eibau
02742;Friedersdorf
02747;Gro??hennersdorf
02748;Bernstadt
02763;Eckartsberg
02779;Gro??sch??nau
02782;Seifhennersdorf
02785;Olbersdorf
02788;Dittelsdorf
02791;Oderwitz
02794;Leutersdorf
02796;Kurort Jonsdorf
02797;Kurort Oybin
02799;Waltersdorf
02826;G??rlitz
02827;G??rlitz
02828;G??rlitz
02829;K??nigshain
02894;Reichenbach
02899;Ostritz
02906;Hohendubrau
02923;H??hnichen
02929;Rothenburg
02943;Wei??wasser
02953;Gablenz
02956;Rietschen
02957;Krauschwitz
02959;Gro?? D??ben
02977;Hoyerswerda
02979;Elsterheide
02991;Laubusch
02994;Bernsdorf
02997;Wittichenau
02999;Knappensee-Gro?? S??rchen
03042;Cottbus
03044;Cottbus
03046;Cottbus
03048;Cottbus
03050;Cottbus
03051;Cottbus
03052;Cottbus
03053;Cottbus
03054;Cottbus
03055;Cottbus
03058;Neuhausen
03096;Dissen-Striesow
03099;Kolkwitz
03103;Neupetershain
03116;Drebkau
03119;Welzow
03130;Felixsee
03149;Forst
03159;D??bern
03172;Grie??en
03185;Drachhausen
03197;Drewitz
03205;Bronkow
03222;L??bbenau
03226;Vetschau
03229;Luckaitztal
03238;Dollenchen
03246;Gahro
03249;Sonnewalde
03253;Doberlug-Kirchhain
04103;Leipzig
04105;Leipzig
04107;Leipzig
04109;Leipzig
04129;Leipzig
04155;Leipzig
04157;Leipzig
04158;Leipzig
04159;Leipzig
04177;Leipzig
04178;Leipzig
04179;Leipzig
04205;Leipzig
04207;Leipzig
04209;Leipzig
04229;Leipzig
04249;Leipzig
04275;Leipzig
04277;Leipzig
04279;Leipzig
04288;Leipzig
04289;Leipzig
04299;Leipzig
04315;Leipzig
04316;Leipzig
04317;Leipzig
04318;Leipzig
04319;Leipzig
04328;Leipzig
04329;Leipzig
04347;Leipzig
04349;Leipzig
04356;Leipzig
04357;Leipzig
04416;Markkleeberg
04420;Markranst??dt
04425;Taucha
04435;Flughafen Leipzig/Halle
04442;Zwenkau
04451;Borsdorf
04463;Gro??p??sna
04509;Krostitz
04519;Rackwitz
04523;Elstertrebnitz
04539;Groitzsch
04552;Borna
04564;B??hlen
04565;Regis-Breitingen
04567;Kitzscher
04571;R??tha
04575;Neukieritzsch
04600;Altenburg
04603;G??hren
04610;Meuselwitz
04613;Lucka
04617;Fockendorf
04618;Frohnsdorf
04626;Dobitschen
04639;G????nitz
04643;Geithain
04651;Bad Lausick
04654;Frohburg
04655;Kohren-Sahlis
04657;
04668;Grimma
04680;Colditz
04683;Fuchshain
04687;Trebsen
04703;Leisnig
04720;D??beln
04736;Waldheim
04741;Niederstriegis
04746;Hartha
04749;Ostrau
04758;Hof
04769;M??geln
04774;Dahlen
04779;Wermsdorf
04808;Thallwitz
04821;Polenz
04824;Beucha
04827;Gerichshain
04828;P??chau
04838;Dobersch??tz
04849;Kossa
04860;Gro??wig
04861;Torgau
04862;Mockrehna
04874;Belgern
04880;Dommitzsch
04886;Arzberg
04889;Schildau
04895;Falkenberg
04910;Elsterwerda
04916;Herzberg
04924;Dobra
04928;Plessa
04931;Fichtenberg
04932;Gr??den
04934;Hohenleipisch
04936;Hillmersdorf
04938;Drasdo
06108;Halle
06110;Halle
06112;Halle
06114;Halle
06116;Halle
06118;Halle
06120;Halle
06122;Halle
06124;Halle
06126;Halle
06128;Halle
06130;Halle
06132;Halle
06179;Teutschenthal
06184;Kabelsketal
06188;Landsberg
06193;Petersberg
06198;Salzatal
06217;Geusa
06231;Bad D??rrenberg
06237;Leuna
06242;Gro??kayna
06246;Bad Lauchst??dt
06249;M??cheln
06255;W??nsch
06258;Schkopau
06259;Frankleben
06268;Gatterst??dt
06279;Farnst??dt
06295;Lutherstadt Eisleben
06308;Klostermansfeld
06311;Helbra
